Año,CodClasificaciónEconómica,ClasificaciónEconómica,CodClasificaciónFuncional,Millones Euros
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,03.4,0.0
1995,D.9," Transferencias de capital, a pagar",03.4,0.0
1995,D.1,Remuneración de asalariados,03.5,0.0
1995,P.2,Consumos intermedios,03.5,1.0
1995,D.29,Otros impuestos sobre la producción,03.5,0.0
1995,D.3,Subvenciones,03.5,0.0
1995,D.4,Rentas de la propiedad,03.5,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,03.5,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,03.5,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,03.5,0.0
1995,D.7,Otras transferencias corrientes,03.5,0.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,03.5,0.0
1995,P.5,Formación bruta de capital,03.5,1.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,03.5,0.0
1995,D.9," Transferencias de capital, a pagar",03.5,0.0
1995,D.1,Remuneración de asalariados,03.6,71.0
1995,P.2,Consumos intermedios,03.6,19.0
1995,D.29,Otros impuestos sobre la producción,03.6,0.0
1995,D.3,Subvenciones,03.6,0.0
1995,D.4,Rentas de la propiedad,03.6,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,03.6,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,03.6,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,03.6,0.0
1995,D.7,Otras transferencias corrientes,03.6,0.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,03.6,0.0
1995,P.5,Formación bruta de capital,03.6,16.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,03.6,0.0
1995,D.9," Transferencias de capital, a pagar",03.6,1.0
1995,D.1,Remuneración de asalariados,04.1,1043.0
1995,P.2,Consumos intermedios,04.1,511.0
1995,D.29,Otros impuestos sobre la producción,04.1,4.0
1995,D.3,Subvenciones,04.1,1093.0
1995,D.4,Rentas de la propiedad,04.1,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,04.1,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,04.1,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,04.1,0.0
1995,D.7,Otras transferencias corrientes,04.1,353.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,04.1,0.0
1995,P.5,Formación bruta de capital,04.1,211.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,04.1,-75.0
1995,D.9," Transferencias de capital, a pagar",04.1,328.0
1995,D.1,Remuneración de asalariados,04.2,752.0
1995,P.2,Consumos intermedios,04.2,346.0
1995,D.29,Otros impuestos sobre la producción,04.2,2.0
1995,D.3,Subvenciones,04.2,294.0
1995,D.4,Rentas de la propiedad,04.2,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,04.2,1.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,04.2,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,04.2,0.0
1995,D.7,Otras transferencias corrientes,04.2,93.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,04.2,0.0
1995,P.5,Formación bruta de capital,04.2,534.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,04.2,-4.0
1995,D.9," Transferencias de capital, a pagar",04.2,805.0
1995,D.1,Remuneración de asalariados,04.3,36.0
1995,P.2,Consumos intermedios,04.3,18.0
1995,D.29,Otros impuestos sobre la producción,04.3,0.0
1995,D.3,Subvenciones,04.3,522.0
1995,D.4,Rentas de la propiedad,04.3,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,04.3,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,04.3,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,04.3,0.0
1995,D.7,Otras transferencias corrientes,04.3,3.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,04.3,0.0
1995,P.5,Formación bruta de capital,04.3,21.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,04.3,0.0
1995,D.9," Transferencias de capital, a pagar",04.3,470.0
1995,D.1,Remuneración de asalariados,04.4,60.0
1995,P.2,Consumos intermedios,04.4,13.0
1995,D.29,Otros impuestos sobre la producción,04.4,0.0
1995,D.3,Subvenciones,04.4,155.0
1995,D.4,Rentas de la propiedad,04.4,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,04.4,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,04.4,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,04.4,0.0
1995,D.7,Otras transferencias corrientes,04.4,72.0
1995,D.8,Ajustes por la variación de los derechos por pensiones,04.4,0.0
1995,P.5,Formación bruta de capital,04.4,23.0
1995,NP, Adquisiciones menos cesiones de activos no financieros no producidos,04.4,0.0
1995,D.9," Transferencias de capital, a pagar",04.4,402.0
1995,D.1,Remuneración de asalariados,04.5,708.0
1995,P.2,Consumos intermedios,04.5,608.0
1995,D.29,Otros impuestos sobre la producción,04.5,3.0
1995,D.3,Subvenciones,04.5,1643.0
1995,D.4,Rentas de la propiedad,04.5,0.0
1995,D.51,Impuestos corrientes sobre la renta…a pagar,04.5,0.0
1995,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,04.5,0.0
1995,D.632,Transferencias sociales en especie: producción adquirida en el mercado,04.5,0.0
1995,D.7,Otras transferencias corrientes,04.5,19.0
